λ(nm) n k
721 1.9381746 0.001494628
722 1.9376179 0.001496573
723 1.9370643 0.001498419
724 1.9365106 0.001500265
725 1.9359568 0.00150211
726 1.9354032 0.001503956
727 1.9348495 0.001505802
728 1.9343145 0.001507408
729 1.9337865 0.001508926
730 1.9332584 0.001510445
731 1.9327303 0.001511963
732 1.9322023 0.001513481
733 1.9316742 0.001514999
734 1.9311525 0.001516293
735 1.9306339 0.001517476
736 1.9301152 0.001518659
737 1.9295965 0.001519842
738 1.929078 0.001521025
739 1.9285593 0.001522208
740 1.9280604 0.001523231
741 1.9275812 0.001524094
742 1.927102 0.001524957
743 1.9266226 0.001525819
744 1.9261434 0.001526682
745 1.9256642 0.001527544
746 1.9251834 0.001528332
747 1.9246975 0.00152888
748 1.9242116 0.001529429
749 1.9237257 0.001529977
750 1.9232398 0.001530526
751 1.9227539 0.001531075
752 1.922268 0.001531623
753 1.9218152 0.001531912
754 1.9213676 0.001532159
755 1.92092 0.001532406
756 1.9204725 0.001532653
757 1.920025 0.0015329
758 1.9195775 0.001533147
759 1.9191331 0.001533277
760 1.9186937 0.001533216
761 1.9182543 0.001533156
762 1.9178149 0.001533095
763 1.9173754 0.001533035
764 1.916936 0.001532974
765 1.9164966 0.001532913
766 1.9160745 0.001532644
767 1.9156573 0.001532316
768 1.9152399 0.001531989
769 1.9148227 0.001531661
770 1.9144053 0.001531333
771 1.9139881 0.001531005
772 1.9135714 0.001530658
773 1.9131614 0.001530058
774 1.9127514 0.001529457
775 1.9123415 0.001528857
776 1.9119315 0.001528257
777 1.9115216 0.001527657
778 1.9111116 0.001527056
779 1.9107033 0.0015264
780 1.9103004 0.001525565
781 1.9098976 0.001524731
782 1.9094946 0.001523896
783 1.9090918 0.001523062
784 1.9086889 0.001522227
785 1.9082861 0.001521393
786 1.9078935 0.001520493
787 1.9075263 0.001519433
788 1.9071591 0.001518374
789 1.9067918 0.001517315
790 1.9064245 0.001516256
791 1.9060574 0.001515196
792 1.9056901 0.001514137
793 1.9053214 0.001513032
794 1.9049469 0.001511756
795 1.9045724 0.00151048
796 1.9041979 0.001509204
797 1.9038235 0.001507928
798 1.9034489 0.001506652
799 1.9030745 0.001505376
800 1.9027 0.0015041
801 1.9023594 0.001502642
802 1.9020188 0.001501184
803 1.9016782 0.001499727
804 1.9013376 0.001498269
805 1.900997 0.001496811
806 1.9006565 0.001495353
807 1.9003158 0.001493896
808 1.8999703 0.001492322
809 1.8996222 0.001490689
810 1.8992741 0.001489056
811 1.8989261 0.001487422
812 1.898578 0.001485789
813 1.89823 0.001484156
814 1.897882 0.001482523
815 1.8975402 0.001480858
816 1.8972251 0.00147906
817 1.8969102 0.001477263
818 1.8965952 0.001475465
819 1.8962803 0.001473667
820 1.8959653 0.001471869
821 1.8956504 0.001470071
822 1.8953354 0.001468273
823 1.8950163 0.001466406
824 1.8946942 0.001464485
825 1.894372 0.001462565
826 1.8940499 0.001460645
827 1.8937277 0.001458725
828 1.8934056 0.001456805
829 1.8930833 0.001454885
830 1.8927612 0.001452965
831 1.8924543 0.001450941
832 1.8921509 0.001448893
833 1.8918474 0.001446845
834 1.891544 0.001444797
835 1.8912406 0.001442749
836 1.8909372 0.001440701
837 1.8906337 0.001438653
838 1.8903303 0.001436605
839 1.8900429 0.001434455
840 1.8897572 0.001432293
841 1.8894714 0.001430132
842 1.8891857 0.00142797
843 1.8889 0.001425809
844 1.8886143 0.001423647
